,code,name,reservedPerShare,bvps,perundp,trade,total,end
1065,600068,葛洲坝,1.65,8.15,1.56,9.69,11.36,-1.67
2315,708,大冶特钢,1.08,8.11,5.53,13.05,14.72,-1.67
1054,600023,浙能电力,1.75,4.26,1.22,5.57,7.23,-1.66
1172,601607,上海医药,5.28,11.73,5.03,20.39,22.04,-1.65
178,59,华锦股份,3.88,6.29,1.2,9.77,11.37,-1.6
955,600827,百联股份,1.64,9.23,4.0,13.29,14.87,-1.58
2309,2521,齐峰新材,4.02,6.79,1.59,10.84,12.4,-1.56
2499,600708,光明地产,1.85,6.08,2.97,9.38,10.9,-1.52
1267,27,深圳能源,1.09,5.4,2.07,7.09,8.56,-1.47
960,600583,海油工程,0.96,5.2,2.76,7.45,8.92,-1.47
2835,600997,开滦股份,0.83,5.55,2.8,7.73,9.18,-1.45
2008,601107,四川成渝,0.6,4.35,1.46,4.99,6.41,-1.42
2435,601339,百隆东方,1.57,4.66,1.86,6.71,8.09,-1.38
922,600017,日照港,0.96,3.37,1.22,4.19,5.55,-1.36
1024,656,金科股份,0.75,4.51,1.29,5.2,6.55,-1.35
1346,539,粤电力Ａ,0.95,4.56,1.27,5.47,6.78,-1.31
525,601111,中国国航,1.26,5.13,2.64,7.74,9.03,-1.29
147,601668,中国建筑,0.51,6.21,3.93,9.39,10.65,-1.26
782,698,沈阳化工,1.63,5.06,2.07,7.53,8.76,-1.23
544,601588,北辰实业,1.08,3.41,1.09,4.36,5.58,-1.22
1288,665,湖北广电,5.45,8.77,2.12,15.13,16.34,-1.21
68,623,吉林敖东,4.55,19.72,12.89,35.96,37.16,-1.2
1357,600780,通宝能源,0.99,4.12,1.87,5.81,6.98,-1.17
842,600033,福建高速,0.61,3.03,1.13,3.62,4.77,-1.15
2529,600362,江西铜业,3.37,13.54,4.9,20.67,21.81,-1.14
1912,600966,博汇纸业,0.98,3.01,0.88,3.74,4.87,-1.13
1257,965,天保基建,1.88,4.47,1.48,6.7,7.83,-1.13
1272,425,徐工机械,0.47,2.91,1.33,3.59,4.71,-1.12
1088,600642,申能股份,0.71,5.44,1.06,6.13,7.21,-1.08
304,2142,宁波银行,2.55,11.65,5.09,18.21,19.29,-1.08
1535,600509,天富能源,2.85,5.2,1.06,8.04,9.11,-1.07
2630,2204,大连重工,1.25,3.42,1.06,4.66,5.73,-1.07
2651,701,厦门信达,4.9,12.24,1.62,17.7,18.76,-1.06
543,601666,平煤股份,1.33,4.41,1.1,5.81,6.84,-1.03
729,883,湖北能源,1.56,3.54,0.88,4.96,5.98,-1.02
112,600153,建发股份,0.86,7.06,4.79,11.7,12.71,-1.01
924,600277,亿利洁能,2.91,4.57,0.53,7.01,8.01,-1.0
2448,600858,银座股份,1.86,5.75,2.72,9.36,10.33,-0.97
2629,600166,福田汽车,1.18,2.79,0.33,3.33,4.3,-0.97
1749,69,华侨城Ａ,0.67,4.84,2.94,7.48,8.45,-0.97
1725,685,中山公用,1.4,7.46,4.13,12.05,12.99,-0.94
1956,600795,国电电力,0.33,2.7,1.0,3.18,4.03,-0.85
1903,600348,阳泉煤业,0.0,5.58,3.09,7.82,8.67,-0.85
1353,2024,苏宁云商,3.48,6.9,1.7,11.24,12.08,-0.84
1390,600067,冠城大通,1.13,4.82,2.44,7.57,8.39,-0.82
167,600005,武钢股份,0.98,2.85,0.42,3.43,4.25,-0.82
2086,2080,中材科技,6.84,9.96,1.91,17.9,18.71,-0.81
378,601390,中国中铁,1.83,6.02,2.42,9.46,10.27,-0.81
2050,600578,京能电力,0.78,3.5,0.99,4.48,5.27,-0.79
996,401,冀东水泥,3.66,7.01,1.53,11.42,12.2,-0.78
1476,601808,中海油服,2.59,7.84,3.73,13.38,14.16,-0.78
1285,600279,重庆港九,3.04,4.67,0.53,7.47,8.24,-0.77
62,600376,首开股份,2.97,11.31,0.0,13.53,14.28,-0.75
583,600742,一汽富维,1.05,9.93,6.48,16.74,17.46,-0.72
160,600963,岳阳林纸,3.88,5.03,0.0,8.2,8.91,-0.71
94,600295,鄂尔多斯,1.41,7.12,4.18,12.01,12.71,-0.7
357,761,本钢板材,2.91,3.99,-0.22,6.0,6.68,-0.68
2411,600126,杭钢股份,4.35,5.46,-0.09,9.04,9.72,-0.68
2072,2005,德豪润达,2.44,3.95,0.46,6.2,6.85,-0.65
2646,809,铁岭新城,0.04,3.8,2.52,5.74,6.36,-0.62
1910,2309,中利科技,5.2,8.43,2.17,15.19,15.8,-0.61
2271,2128,露天煤业,0.77,5.65,3.37,9.19,9.79,-0.6
