,code,name,reservedPerShare,bvps,perundp,trade,total,end
2422,703,恒逸石化,2.71,6.49,2.58,13.79,11.78,2.01
726,540,中天城投,0.79,3.02,1.11,6.93,4.92,2.01
127,601886,江河集团,2.57,5.76,1.82,12.17,10.15,2.02
2395,600059,古越龙山,2.33,4.78,1.2,10.35,8.31,2.04
1939,603366,日出东方,2.4,4.7,1.08,10.22,8.18,2.04
2256,601208,东材科技,1.87,3.61,0.57,8.11,6.05,2.06
226,600008,首创股份,0.06,1.91,0.38,4.41,2.35,2.06
288,300083,劲胜精密,2.54,3.56,-0.03,8.13,6.07,2.06
910,2078,太阳纸业,0.48,2.97,1.29,6.81,4.74,2.07
511,629,*ST钒钛,0.66,0.86,-0.86,2.73,0.66,2.07
644,2277,友阿股份,2.8,6.87,2.7,14.45,12.37,2.08
1343,636,风华高科,2.69,5.03,0.64,10.44,8.36,2.08
328,759,中百集团,1.57,4.1,1.08,8.84,6.75,2.09
2042,600162,香江控股,0.45,1.99,0.0,4.53,2.44,2.09
1962,417,合肥百货,0.4,4.51,2.29,9.3,7.2,2.1
1941,525,红 太 阳,5.06,8.06,1.7,16.92,14.82,2.1
1370,600292,远达环保,3.81,6.19,1.05,13.16,11.05,2.11
2032,735,罗 牛 山,1.35,2.98,0.51,6.95,4.84,2.11
1855,939,凯迪生态,2.65,5.02,1.2,11.0,8.87,2.13
757,600512,腾达建设,0.0,2.88,0.17,5.19,3.05,2.14
1319,600377,宁沪高速,2.07,4.3,0.45,8.96,6.82,2.14
1294,917,电广传媒,4.34,7.58,1.72,15.79,13.64,2.15
1911,2031,巨轮智能,0.02,1.34,0.26,3.77,1.62,2.15
1927,428,华天酒店,1.43,3.01,0.52,7.11,4.96,2.15
1491,600979,广安爱众,1.93,3.41,0.42,7.92,5.76,2.16
173,2392,北京利尔,0.83,2.5,0.62,6.11,3.95,2.16
1545,600409,三友化工,1.28,3.65,1.23,8.35,6.16,2.19
1095,600438,通威股份,0.96,2.53,0.51,6.23,4.0,2.23
2380,2375,亚厦股份,1.37,5.32,2.74,11.66,9.43,2.23
2608,600891,秋林集团,2.43,4.69,1.12,10.49,8.24,2.25
845,600716,凤凰股份,1.58,3.7,0.97,8.5,6.25,2.25
2650,2483,润邦股份,4.36,5.75,0.29,12.65,10.4,2.25
1153,2160,常铝股份,3.01,4.28,0.23,9.78,7.52,2.26
1785,2328,新朋股份,2.69,5.14,1.32,11.41,9.15,2.26
2894,2154,报 喜 鸟,0.05,2.29,1.09,5.71,3.43,2.28
2188,2663,普邦股份,0.83,2.54,0.64,6.31,4.01,2.3
747,2336,*ST人乐,6.19,5.63,-1.8,12.32,10.02,2.3
667,600469,风神股份,1.41,4.93,2.07,10.72,8.41,2.31
1528,600577,精达股份,0.01,1.45,0.39,4.18,1.85,2.33
2153,601718,际华集团,1.12,3.53,1.4,8.38,6.05,2.33
2371,600006,东风汽车,0.31,3.26,1.59,7.5,5.16,2.34
2505,603993,洛阳钼业,0.63,1.06,0.19,4.22,1.88,2.34
1793,2218,拓日新能,3.13,4.31,0.15,9.94,7.59,2.35
1938,2267,陕天然气,1.16,4.68,2.05,10.24,7.89,2.35
2288,601011,宝泰隆,1.55,3.12,0.52,7.54,5.19,2.35
1778,2601,佰利联,4.7,6.1,0.4,13.56,11.2,2.36
196,732,泰禾集团,3.74,11.14,3.45,20.69,18.33,2.36
1236,816,智慧农业,1.0,2.45,0.4,6.21,3.85,2.36
2163,600101,明星电力,1.43,6.09,3.29,13.17,10.81,2.36
1999,600854,春兰股份,2.95,3.77,-1.18,7.92,5.54,2.38
2518,600744,华银电力,2.74,2.22,-1.6,5.75,3.36,2.39
953,601126,四方股份,1.73,4.55,1.6,10.28,7.88,2.4
2099,600589,广东榕泰,1.84,4.18,1.14,9.56,7.16,2.4
2160,600327,大东方,0.75,5.04,1.75,9.95,7.54,2.41
2161,600192,长城电工,2.05,4.31,1.15,9.92,7.51,2.41
1075,600108,亚盛集团,0.28,2.4,0.89,5.99,3.57,2.42
1342,2463,沪电股份,0.1,1.97,0.72,5.22,2.79,2.43
678,600160,巨化股份,2.53,4.89,1.11,10.96,8.53,2.43
2257,600676,交运股份,1.15,4.42,1.44,9.45,7.01,2.44
2341,2406,远东传动,1.59,3.94,1.19,9.19,6.72,2.47
786,690,宝新能源,1.35,3.74,1.14,8.7,6.23,2.47
1149,587,金洲慈航,5.51,7.78,1.25,17.01,14.54,2.47
1239,822,山东海化,1.68,2.61,-0.45,6.32,3.84,2.48
1880,30,富奥股份,0.41,3.88,2.19,8.96,6.48,2.48
534,601010,文峰股份,0.45,2.2,0.58,5.72,3.23,2.49
2116,2505,大康农业,0.03,1.06,0.02,3.6,1.11,2.49
438,537,广宇发展,0.17,4.3,3.0,9.96,7.47,2.49
2708,600483,福能股份,2.07,6.23,1.51,12.31,9.81,2.5
2196,601908,京运通,1.45,3.15,0.64,7.74,5.24,2.5
1204,419,通程控股,0.77,3.55,1.54,8.37,5.86,2.51
2213,2600,江粉磁材,3.17,4.4,0.21,10.3,7.78,2.52
252,2028,思源电气,0.1,5.39,3.94,11.97,9.43,2.54
1836,600488,天药股份,0.63,2.56,0.76,6.51,3.95,2.56
1849,600223,鲁商置业,0.3,2.21,0.81,5.88,3.32,2.56
735,2011,盾安环境,2.32,4.88,1.28,11.04,8.48,2.56
2209,600248,延长化建,0.8,3.06,1.02,7.45,4.88,2.57
2455,2457,青龙管业,2.46,5.33,1.66,12.03,9.45,2.58
608,600369,西南证券,1.39,3.36,0.57,7.91,5.32,2.59
1979,600218,全柴动力,2.83,5.07,0.98,11.48,8.88,2.6
418,983,西山煤电,0.3,5.27,3.05,11.24,8.62,2.62
2678,2132,恒星科技,0.83,2.21,0.34,6.02,3.38,2.64
2575,2255,海陆重工,1.41,3.69,1.14,8.89,6.24,2.65
1313,2574,明牌珠宝,3.13,5.83,1.51,13.13,10.47,2.66
2183,680,山推股份,0.96,2.5,0.25,6.37,3.71,2.66
2640,600873,梅花生物,0.72,2.79,0.99,7.16,4.5,2.66
2404,700,模塑科技,0.27,4.46,1.7,9.1,6.43,2.67
920,601558,华锐风电,0.88,0.6,-1.36,2.79,0.12,2.67
2197,823,超声电子,2.65,5.5,1.44,12.27,9.59,2.68
1121,600686,金龙汽车,1.86,6.07,2.79,13.4,10.72,2.68
973,776,广发证券,4.18,10.0,2.92,19.79,17.1,2.69
440,2666,德联集团,1.3,3.6,1.26,8.86,6.16,2.7
888,750,国海证券,1.49,3.28,0.43,7.9,5.2,2.7
2432,2321,华英农业,3.02,4.51,0.41,10.65,7.94,2.71
162,407,胜利股份,1.15,2.76,0.45,7.07,4.36,2.71
1335,600884,杉杉股份,2.97,7.5,1.88,15.08,12.35,2.73
2935,300102,乾照光电,2.13,3.51,0.32,8.69,5.96,2.73
1870,961,中南建设,0.88,3.8,1.85,9.27,6.53,2.74
1631,300026,红日药业,0.87,1.91,0.68,6.2,3.46,2.74
1306,601677,明泰铝业,4.27,7.81,2.09,16.91,14.17,2.74
884,2181,粤 传 媒,1.1,3.14,0.86,7.85,5.1,2.75
2012,2067,景兴纸业,1.42,2.83,0.36,7.36,4.61,2.75
111,601003,柳钢股份,0.08,1.78,0.32,4.97,2.18,2.79
905,2342,巨力索具,0.71,2.52,0.7,6.72,3.93,2.79
320,601633,长城汽车,0.15,4.81,3.3,11.05,8.26,2.79
495,600684,珠江实业,0.12,3.52,2.14,8.61,5.78,2.83
633,514,渝 开 发,1.41,3.34,0.74,8.32,5.49,2.83
1477,601798,蓝科高新,2.81,5.55,1.62,12.82,9.98,2.84
2588,2026,山东威达,2.95,5.3,1.17,12.28,9.42,2.86
935,731,四川美丰,1.08,4.41,1.63,9.98,7.12,2.86
2130,600082,海泰发展,0.64,2.64,0.85,6.99,4.13,2.86
1512,600726,华电能源,0.76,1.76,-0.17,5.22,2.35,2.87
105,501,鄂武商Ａ,2.48,9.7,5.43,20.48,17.61,2.87
2374,600960,渤海活塞,1.77,3.94,1.02,9.61,6.73,2.88
2361,421,南京公用,0.71,4.09,2.1,9.78,6.9,2.88
1551,600331,宏达股份,1.51,2.29,-0.32,6.36,3.48,2.88
2912,893,东凌国际,4.93,5.63,-0.35,13.1,10.21,2.89
2552,601616,广电电气,1.44,2.52,-0.01,6.85,3.95,2.9
2235,600565,迪马股份,0.95,2.62,0.57,7.05,4.14,2.91
547,600601,方正科技,0.07,1.59,0.52,5.09,2.18,2.91
2317,600575,皖江物流,1.28,2.04,-0.33,5.92,2.99,2.93
2570,600751,天海投资,3.49,4.26,-0.27,10.41,7.48,2.93
2558,2064,华峰氨纶,0.01,1.76,0.59,5.29,2.36,2.93
2069,600871,石化油服,0.63,1.12,-0.55,4.15,1.2,2.95
2725,692,惠天热电,0.71,2.46,0.47,6.6,3.64,2.96
1848,601106,中国一重,1.29,1.98,-0.33,5.91,2.94,2.97
420,601608,中信重工,0.48,1.92,0.28,5.65,2.68,2.97
1210,686,东北证券,2.45,6.63,2.11,14.16,11.19,2.97
1877,2498,汉缆股份,0.04,1.31,0.19,4.52,1.54,2.98
2210,601866,中海集运,0.11,1.19,0.17,4.45,1.47,2.98
2073,601388,怡球资源,0.04,1.05,0.05,4.13,1.14,2.99
1251,600580,卧龙电气,1.46,3.92,1.54,9.91,6.92,2.99
1215,597,东北制药,3.75,4.84,-0.12,11.46,8.47,2.99
1246,300105,龙源技术,1.32,3.95,1.42,9.69,6.69,3.0
2544,652,泰达股份,0.44,2.24,0.52,6.21,3.2,3.01
1776,2441,众业达,3.44,6.23,1.65,14.33,11.32,3.01
1171,716,黑芝麻,1.41,2.8,0.41,7.63,4.62,3.01
2298,600694,大商股份,4.89,23.49,15.65,47.05,44.03,3.02
1991,2118,紫鑫药业,1.69,2.85,0.61,8.18,5.15,3.03
2751,601996,丰林集团,1.53,3.75,1.08,9.39,6.36,3.03
2158,600249,两面针,1.56,3.6,0.13,8.34,5.29,3.05
1492,600978,宜华生活,1.66,4.92,2.01,11.64,8.59,3.05
1930,601001,大同煤业,0.67,3.05,0.26,7.03,3.98,3.05
740,601985,中国核电,0.83,2.57,0.63,7.09,4.03,3.06
1487,601005,重庆钢铁,1.6,0.3,-2.44,2.52,-0.54,3.06
2503,600819,耀皮玻璃,1.2,3.03,0.32,7.62,4.55,3.07
2166,600252,中恒集团,0.02,1.52,0.28,4.9,1.82,3.08
2272,2133,广宇集团,1.07,3.65,1.37,9.18,6.09,3.09
1217,601919,中国远洋,2.67,1.81,-1.79,5.79,2.69,3.1
2011,601555,东吴证券,3.92,6.63,1.13,14.79,11.68,3.11
1748,88,盐 田 港,0.37,2.95,1.2,7.63,4.52,3.11
92,951,中国重汽,0.64,7.0,4.66,15.43,12.3,3.13
2225,600815,厦工股份,2.11,2.66,-0.73,7.17,4.04,3.13
1576,600021,上海电力,1.96,4.96,1.68,11.73,8.6,3.13
2540,612,焦作万方,1.34,3.79,1.07,9.36,6.2,3.16
1663,2477,雏鹰农牧,0.18,1.59,0.37,5.3,2.14,3.16
2132,601216,君正集团,0.03,1.55,0.49,5.23,2.07,3.16
2217,600653,申华控股,0.18,1.1,-0.08,4.37,1.2,3.17
2351,530,大冷股份,1.6,5.26,1.0,11.04,7.86,3.18
312,2274,华昌化工,2.44,4.42,0.36,10.4,7.22,3.18
1478,601727,上海电气,0.71,3.31,1.21,8.42,5.23,3.19
2867,600078,澄星股份,0.59,2.74,0.94,7.46,4.27,3.19
2090,2470,金正大,0.36,2.89,1.44,7.88,4.69,3.19
570,932,华菱钢铁,2.33,2.05,-1.56,6.02,2.82,3.2
1879,620,新华联,1.11,3.1,1.57,8.98,5.78,3.2
1904,601038,一拖股份,2.14,4.89,1.36,11.59,8.39,3.2
1229,2628,成都路桥,1.14,3.56,1.24,9.15,5.94,3.21
2144,2068,黑猫股份,1.39,3.19,0.7,8.5,5.28,3.22
2793,2683,宏大爆破,2.27,4.05,0.68,10.22,7.0,3.22
2356,2398,建研集团,1.68,6.1,3.3,14.3,11.08,3.22
247,2545,东方铁塔,3.45,5.09,0.47,12.24,9.01,3.23
2289,600199,金种子酒,1.26,4.02,1.5,10.03,6.78,3.25
2002,753,漳州发展,0.2,1.51,0.27,5.24,1.98,3.26
2276,600326,西藏天路,1.5,3.47,0.85,9.09,5.82,3.27
1091,2528,英飞拓,1.79,3.03,0.13,8.22,4.95,3.27
1516,600688,上海石化,0.05,2.12,0.66,6.11,2.83,3.28
2676,600290,华仪电气,3.78,5.51,0.68,13.28,9.97,3.31
1126,793,华闻传媒,1.74,4.59,1.64,11.29,7.97,3.32
942,600880,博瑞传播,0.74,3.31,1.3,8.67,5.35,3.32
2761,300217,东方电热,0.03,1.42,0.34,5.11,1.79,3.32
712,600622,嘉宝集团,3.28,7.25,2.5,16.38,13.03,3.35
332,63,中兴通讯,2.57,7.62,3.73,17.32,13.92,3.4
90,600724,宁波富达,0.18,2.01,0.68,6.28,2.87,3.41
2310,601789,宁波建工,0.53,2.44,0.83,7.22,3.8,3.42
668,300214,日科化学,1.11,3.32,1.09,8.94,5.52,3.42
1523,600636,三爱富,3.35,5.82,1.27,13.86,10.44,3.42
987,601158,重庆水务,0.96,2.83,0.65,7.86,4.44,3.42
1811,2135,东南网架,1.07,2.83,0.66,7.98,4.56,3.42
770,2422,科伦药业,2.52,7.94,4.04,17.92,14.5,3.42
592,517,荣安地产,-0.53,1.11,0.62,4.63,1.2,3.43
2178,600778,友好集团,1.3,4.59,1.96,11.28,7.85,3.43
1558,600236,桂冠电力,0.35,2.15,0.69,6.63,3.19,3.44
2451,600303,曙光股份,1.63,4.1,1.09,10.26,6.82,3.44
555,936,华西股份,0.57,5.5,1.49,11.01,7.56,3.45
816,601965,中国汽研,1.47,4.04,1.41,10.37,6.92,3.45
1529,600558,大西洋,0.5,2.06,0.46,6.48,3.02,3.46
2868,2538,司尔特,1.91,4.38,1.31,11.06,7.6,3.46
1711,861,海印股份,0.0,1.4,0.25,5.12,1.65,3.47
2438,300158,振东制药,8.18,9.76,0.54,21.95,18.48,3.47
2399,600690,青岛海尔,0.01,4.11,2.68,10.29,6.8,3.49
1033,166,申万宏源,0.22,2.52,0.83,7.06,3.57,3.49
1072,2390,信邦制药,2.28,3.69,0.38,9.85,6.35,3.5
2874,2042,华孚色纺,1.2,4.76,2.43,11.89,8.39,3.5
2872,2564,天沃科技,1.93,3.69,0.69,9.81,6.31,3.5
1818,600537,亿晶光电,0.5,2.6,1.08,7.69,4.18,3.51
1813,10,美丽生态,1.82,2.68,-0.16,7.86,4.34,3.52
2764,993,闽东电力,2.79,4.35,0.5,11.17,7.64,3.53
1805,548,湖南投资,0.96,3.09,0.92,8.51,4.97,3.54
2778,600711,盛屯矿业,1.33,2.63,0.29,7.79,4.25,3.54
1509,600747,大连控股,0.68,1.36,-0.4,5.2,1.64,3.56
463,722,湖南发展,4.61,5.85,0.23,14.27,10.69,3.58
2118,2340,格林美,0.97,2.31,0.32,7.18,3.6,3.58
1411,300193,佳士科技,2.52,4.14,0.6,10.84,7.26,3.58
2625,600220,江苏阳光,0.0,1.08,0.0,4.68,1.08,3.6
776,600061,国投安信,4.51,7.31,1.58,17.0,13.4,3.6
1207,2228,合兴包装,0.01,1.53,0.49,5.63,2.03,3.6
2609,2420,毅昌股份,2.01,3.98,0.89,10.48,6.88,3.6
445,600635,大众公用,0.07,2.37,0.51,6.58,2.95,3.63
1771,2454,松芝股份,2.28,6.3,2.88,15.1,11.46,3.64
2117,2497,雅化集团,0.38,2.36,0.8,7.18,3.54,3.64
170,600791,京能置业,0.29,3.36,1.89,9.18,5.54,3.64
2081,2061,*ST江化,2.16,2.85,-0.57,8.08,4.44,3.64
432,544,中原环保,6.17,7.9,0.68,18.4,14.75,3.65
1915,2298,中电鑫龙,4.12,6.49,0.65,14.91,11.26,3.65
2350,635,英 力 特,6.2,9.33,1.83,21.01,17.36,3.65
1096,545,金浦钛业,-0.06,1.86,0.81,6.27,2.61,3.66
2466,807,云铝股份,1.4,3.07,-0.03,8.1,4.44,3.66
1568,600151,航天机电,3.27,4.27,-0.25,10.97,7.29,3.68
1816,2593,日上集团,1.04,2.54,0.48,7.75,4.06,3.69
1881,600075,新疆天业,2.32,5.49,1.87,13.37,9.68,3.69
81,600705,中航资本,0.45,2.39,0.51,7.05,3.35,3.7
1299,300263,隆华节能,1.12,2.77,0.59,8.2,4.48,3.72
1201,600522,中天科技,1.44,4.43,1.51,11.1,7.38,3.72
871,2109,*ST兴化,0.55,2.66,0.7,7.64,3.91,3.73
830,2073,软控股份,1.01,5.01,2.08,11.83,8.1,3.73
2149,300129,泰胜风能,0.96,2.86,0.88,8.44,4.7,3.74
2265,800,一汽轿车,1.53,4.87,1.72,11.88,8.12,3.76
1955,600515,海航基础,2.76,6.03,0.39,12.95,9.18,3.77
675,2513,*ST蓝丰,5.33,7.33,0.82,17.25,13.48,3.77
696,2565,上海绿新,1.09,2.86,0.71,8.44,4.66,3.78
2559,2249,大洋电机,2.2,3.55,0.26,9.79,6.01,3.78
97,627,天茂集团,1.55,3.17,0.23,8.73,4.95,3.78
966,600874,创业环保,0.27,3.27,1.71,9.04,5.25,3.79
1976,600163,中闽能源,2.09,1.53,-1.63,5.78,1.99,3.79
685,300189,神农基因,0.27,1.36,0.07,5.52,1.7,3.82
912,2102,冠福股份,0.1,1.38,0.21,5.51,1.69,3.82
2146,2374,丽鹏股份,1.3,2.96,0.41,8.49,4.67,3.82
1317,601890,亚星锚链,1.44,3.05,0.55,8.87,5.04,3.83
2854,2269,美邦服饰,0.08,1.17,-0.11,4.98,1.14,3.84
670,600051,宁波联合,0.47,6.3,2.8,13.43,9.57,3.86
663,300307,慈星股份,2.4,4.86,1.2,12.33,8.46,3.87
402,600176,中国巨石,1.83,4.36,1.4,11.46,7.59,3.87
1304,600203,福日电子,3.57,5.02,0.11,12.57,8.7,3.87
2075,600794,保税科技,0.22,1.67,0.39,6.16,2.28,3.88
1842,601099,太平洋,0.41,1.71,0.16,6.17,2.28,3.89
2602,600103,青山纸业,0.76,1.8,-0.08,6.37,2.48,3.89
485,601139,深圳燃气,1.18,3.53,1.18,9.79,5.89,3.9
1124,600460,士兰微,0.14,1.97,0.72,6.75,2.83,3.92
2704,404,华意压缩,1.97,4.25,1.24,11.38,7.46,3.92
2913,2523,天桥起重,0.75,2.14,0.34,7.17,3.23,3.94
1260,78,海王生物,0.99,1.91,-0.02,6.82,2.88,3.94
1660,2487,大金重工,1.41,3.14,0.66,9.16,5.21,3.95
1958,669,金鸿能源,3.68,8.05,3.22,18.91,14.95,3.96
2165,16,深康佳Ａ,0.03,1.14,-0.24,4.92,0.93,3.99
1837,600187,国中水务,0.92,1.76,-0.18,6.49,2.5,3.99
974,897,津滨发展,0.19,0.81,-0.43,4.57,0.57,4.0
2043,600270,外运发展,0.59,8.07,5.44,18.1,14.1,4.0
634,600900,长江电力,2.0,5.63,1.69,13.34,9.32,4.02
1921,2385,大北农,0.26,2.19,0.86,7.34,3.31,4.03
1936,300117,嘉寓股份,0.21,1.95,0.68,6.89,2.84,4.05
2493,600227,赤天化,0.63,2.11,0.1,6.89,2.84,4.05
2902,791,甘肃电投,3.5,5.26,0.68,13.51,9.44,4.07
1129,601226,华电重工,1.06,3.11,0.92,9.17,5.09,4.08
639,603001,奥康国际,4.81,10.09,3.75,22.74,18.65,4.09
2376,2540,亚太科技,0.68,2.74,0.98,8.49,4.4,4.09
2357,600333,长春燃气,1.06,2.98,0.64,8.78,4.68,4.1
0,603819,N神力,2.04,5.43,1.06,12.63,8.53,4.1
1053,600052,浙江广厦,0.12,2.43,0.76,7.42,3.31,4.11
1736,570,苏常柴Ａ,0.29,4.05,1.16,9.62,5.5,4.12
446,672,上峰水泥,-0.59,2.18,1.47,7.18,3.06,4.12
316,600410,华胜天成,2.52,5.3,0.85,12.79,8.67,4.12
286,600495,晋西车轴,0.96,2.55,0.45,8.09,3.96,4.13
391,600527,江南高纤,0.16,2.01,0.7,7.0,2.87,4.13
43,2110,三钢闽光,3.35,5.04,0.47,13.0,8.86,4.14
948,2062,宏润建设,0.04,2.23,0.89,7.3,3.16,4.14
2423,601566,九牧王,4.48,7.53,1.54,17.7,13.55,4.15
2645,600395,盘江股份,1.41,3.47,0.61,9.65,5.49,4.16
2354,600499,科达洁能,0.2,2.91,1.53,8.8,4.64,4.16
2478,2344,海宁皮城,0.28,4.74,3.2,12.38,8.22,4.16
819,600561,江西长运,2.02,6.32,2.59,15.11,10.93,4.18
1937,600824,益民集团,0.15,1.93,0.6,6.87,2.68,4.19
1287,600323,瀚蓝环境,2.28,6.2,2.4,15.07,10.88,4.19
518,300164,通源石油,1.77,3.41,0.45,9.82,5.63,4.19
1135,300048,合康变频,1.48,3.1,0.55,9.32,5.13,4.19
950,2461,珠江啤酒,2.35,5.1,1.52,13.16,8.97,4.19
436,601766,中国中车,1.1,3.68,1.53,10.51,6.31,4.2
116,498,山东路桥,-0.5,2.92,1.66,8.28,4.08,4.2
1957,2697,红旗连锁,0.03,1.6,0.49,6.34,2.12,4.22
2643,2106,莱宝高科,2.94,5.05,0.69,12.92,8.68,4.24
287,2641,永高股份,0.84,2.94,0.92,8.95,4.7,4.25
1850,300135,宝利国际,0.04,1.28,0.2,5.77,1.52,4.25
997,601928,凤凰传媒,1.12,4.43,1.66,11.46,7.21,4.25
1329,600738,兰州民百,1.08,3.35,1.13,9.82,5.56,4.26
2840,2449,国星光电,3.38,5.91,1.31,14.88,10.6,4.28
552,2501,利源精制,1.69,4.66,1.75,12.4,8.1,4.3
1803,600268,国电南自,1.52,2.75,-0.04,8.55,4.23,4.32
1130,600729,重庆百货,1.02,11.38,8.54,25.26,20.94,4.32
2299,2361,神剑股份,0.56,2.07,0.45,7.42,3.08,4.34
2112,601579,会稽山,3.48,5.7,1.06,14.6,10.24,4.36
2516,2039,黔源电力,3.74,7.17,2.07,17.34,12.98,4.36
2627,300084,海默科技,3.23,4.68,0.38,12.66,8.29,4.37
1415,601177,杭齿前进,2.15,4.07,0.77,11.36,6.99,4.37
697,2145,中核钛白,0.54,1.58,0.05,6.57,2.17,4.4
213,601,韶能股份,1.47,3.93,0.99,10.8,6.39,4.41
918,600897,厦门空港,0.61,10.83,7.81,23.66,19.25,4.41
2027,2327,富安娜,0.09,2.89,1.93,9.33,4.91,4.42
1869,2126,银轮股份,0.62,3.04,1.28,9.37,4.94,4.43
1240,2266,浙富控股,0.07,1.48,0.36,6.34,1.91,4.43
2100,650,仁和药业,0.25,2.15,0.77,7.6,3.17,4.43
1479,601700,风范股份,1.07,2.6,0.37,8.47,4.04,4.43
1629,300040,九洲电气,2.36,4.91,1.52,13.22,8.79,4.43
713,2604,龙力生物,3.07,5.1,0.9,13.51,9.07,4.44
1822,2157,正邦科技,0.21,1.98,0.77,7.41,2.96,4.45
119,600507,方大特钢,0.03,1.85,0.53,6.86,2.41,4.45
2294,2533,金杯电工,1.46,3.88,1.39,11.18,6.73,4.45
1404,862,银星能源,3.15,2.87,-1.33,9.14,4.69,4.45
2228,868,安凯客车,0.55,1.86,0.24,7.11,2.65,4.46
2237,2516,旷达科技,0.1,1.83,0.64,7.03,2.57,4.46
2757,26,飞亚达Ａ,2.42,5.41,1.6,13.91,9.43,4.48
490,2567,唐人神,2.54,4.99,1.09,13.11,8.62,4.49
1804,601199,江南水务,0.42,2.63,1.0,8.54,4.05,4.49
2614,2566,益盛药业,2.51,5.31,1.53,13.84,9.35,4.49
1718,733,振华科技,4.99,8.09,1.62,19.2,14.7,4.5
2769,600803,新奥股份,0.0,4.47,3.31,12.28,7.78,4.5
1806,600869,智慧能源,0.94,2.53,0.52,8.49,3.99,4.5
2522,601118,海南橡胶,0.96,1.96,-0.09,7.34,2.83,4.51
321,300079,数码视讯,0.46,2.45,0.9,8.32,3.81,4.51
1564,600189,吉林森工,2.3,4.57,0.67,12.05,7.54,4.51
2886,300111,向日葵,0.19,1.17,-0.07,5.81,1.29,4.52
1514,600713,南京医药,1.21,2.69,0.41,8.83,4.31,4.52
2388,600400,红豆股份,1.0,2.45,0.38,8.37,3.83,4.54
2933,600623,华谊集团,4.24,7.57,2.15,18.54,13.96,4.58
1071,2394,联发股份,2.98,8.32,3.81,19.69,15.11,4.58
586,600497,驰宏锌锗,1.2,2.45,0.17,8.42,3.82,4.6
887,2054,德美化工,0.35,4.28,2.6,11.83,7.23,4.6
1812,600458,时代新材,3.85,6.1,1.23,15.78,11.18,4.6
275,600439,瑞贝卡,0.46,2.45,1.16,8.68,4.07,4.61
1959,2325,洪涛股份,0.63,2.96,1.14,9.34,4.73,4.61
2887,600313,农发种业,0.44,1.6,0.15,6.81,2.19,4.62
2402,600664,哈药股份,0.21,3.07,1.34,9.25,4.62,4.63
2550,603002,宏昌电子,0.15,1.65,0.44,6.87,2.24,4.63
2574,600540,新赛股份,1.71,2.3,-0.5,8.16,3.51,4.65
118,600243,青海华鼎,2.83,3.98,0.11,11.6,6.92,4.68
2059,751,锌业股份,0.93,1.5,-0.69,6.42,1.74,4.68
381,300274,阳光电源,2.08,4.03,0.83,11.63,6.94,4.69
176,600638,新黄浦,1.83,6.54,3.06,16.13,11.43,4.7
2006,600987,航民股份,0.16,4.66,3.17,12.69,7.99,4.7
343,300198,纳川股份,0.14,1.51,0.34,6.69,1.99,4.7
655,2481,双塔食品,0.49,2.1,0.55,7.85,3.14,4.71
1144,600109,国金证券,2.59,5.66,1.48,14.45,9.73,4.72
2316,713,丰乐种业,1.69,4.33,1.11,11.85,7.13,4.72
2539,300182,捷成股份,2.04,3.63,0.54,10.93,6.21,4.72
1717,739,普洛药业,0.18,2.2,0.95,8.05,3.33,4.72
2311,2421,达实智能,0.78,1.4,0.3,7.2,2.48,4.72
2170,2556,辉隆股份,1.12,3.07,0.83,9.75,5.02,4.73
2728,600529,山东药玻,2.28,9.01,4.78,20.81,16.07,4.74
889,600981,汇鸿集团,0.38,3.62,0.46,9.22,4.46,4.76
2066,600251,冠农股份,0.47,2.39,0.74,8.37,3.6,4.77
2284,600861,北京城乡,2.7,7.4,1.73,16.6,11.83,4.77
724,600482,中国动力,10.88,14.34,2.39,32.4,27.61,4.79
1826,516,国际医学,0.14,1.76,0.55,7.25,2.45,4.8
482,600351,亚宝药业,1.37,3.39,0.84,10.42,5.6,4.82
831,300094,国联水产,0.74,2.29,0.46,8.32,3.49,4.83
1407,2097,山河智能,1.28,3.2,0.74,10.05,5.22,4.83
1834,2471,中超控股,0.02,1.41,0.35,6.61,1.78,4.83
1790,2546,新联电子,1.46,3.25,0.69,10.24,5.4,4.84
1212,2648,卫星石化,1.76,3.95,0.87,11.43,6.58,4.85
135,2220,天宝股份,1.84,4.8,1.77,13.26,8.41,4.85
965,978,桂林旅游,2.7,4.19,0.3,12.05,7.19,4.86
2186,600261,阳光照明,0.18,2.11,0.76,7.92,3.05,4.87
605,551,创元科技,0.82,4.04,1.28,11.02,6.14,4.88
2285,828,东莞控股,1.1,4.71,2.08,12.77,7.89,4.88
2543,600330,天通股份,3.14,4.33,0.09,12.44,7.56,4.88
1536,600502,安徽水利,0.36,3.26,1.34,9.84,4.96,4.88
1148,600572,康恩贝,0.04,1.74,0.6,7.27,2.38,4.89
1114,2203,海亮股份,0.13,2.47,1.31,8.8,3.91,4.89
2245,600853,龙建股份,0.19,1.51,0.31,6.91,2.01,4.9
2053,600740,山西焦化,2.95,2.57,-1.67,8.75,3.85,4.9
1561,600225,天津松江,1.23,1.45,-0.95,6.64,1.73,4.91
2622,2353,杰瑞股份,3.86,8.18,3.17,20.13,15.21,4.92
2477,600830,香溢融通,1.15,4.38,1.98,12.45,7.51,4.94
1052,2307,北新路桥,0.9,2.71,0.68,9.25,4.29,4.96
823,902,新洋丰,0.52,3.92,2.27,11.67,6.71,4.96
