,code,trade
354,600985,14.94
355,600984,8.81
356,600983,11.97
357,600982,5.74
358,600981,9.22
359,600980,26.56
360,600979,7.92
361,600978,11.64
362,600977,27.98
363,600976,33.19
364,600975,9.43
365,600973,8.05
366,600971,7.26
367,600970,7.8
368,600969,18.9
369,600967,12.9
370,600966,3.74
371,600965,15.19
372,600963,8.2
373,600962,17.15
374,600961,12.03
375,600960,9.61
376,600959,10.72
377,600958,16.73
378,600936,14.89
379,600926,24.63
380,600919,11.12
381,600917,14.98
382,600908,13.53
383,600900,13.34
384,600898,17.46
385,600897,23.66
386,600896,13.69
387,600895,19.21
388,600894,14.72
389,600893,34.69
390,600892,78.31
391,600891,10.49
392,600890,11.27
393,600889,12.96
394,600888,8.23
395,600887,18.72
396,600886,6.86
397,600885,32.48
398,600884,15.08
399,600883,17.62
400,600882,12.31
401,600881,5.98
402,600880,8.67
403,600879,16.1
404,600877,8.96
405,600876,25.61
406,600875,10.24
407,600874,9.04
408,600873,7.16
409,600872,16.57
410,600871,4.15
411,600870,10.49
412,600869,8.49
413,600868,7.04
414,600867,23.12
415,600865,13.41
416,600864,12.49
417,600863,3.28
418,600862,12.89
419,600861,16.6
420,600860,11.49
421,600859,16.28
422,600858,9.36
423,600857,18.49
424,600856,12.54
425,600855,28.89
426,600854,7.92
427,600853,6.91
428,600851,13.69
429,600850,26.94
430,600848,25.41
431,600847,32.52
432,600846,9.97
433,600845,21.16
434,600844,8.96
435,600843,17.58
436,600841,14.84
437,600839,4.39
438,600838,16.98
439,600837,16.96
440,600836,9.41
441,600835,21.41
442,600834,15.28
443,600833,21.08
444,600831,14.42
445,600830,12.45
446,600829,15.77
447,600828,8.76
448,600827,13.29
449,600826,29.88
450,600825,9.28
451,600824,6.87
452,600823,8.0
453,600822,17.19
454,600821,13.23
455,600820,10.38
456,600819,7.62
457,600818,29.4
458,600816,23.16
459,600815,7.17
460,600814,10.19
461,600812,6.72
462,600811,7.47
463,600810,10.15
464,600809,22.77
465,600808,3.0
466,600807,13.73
467,600805,9.05
468,600804,23.1
469,600803,12.28
470,600802,10.36
471,600801,8.14
472,600800,10.02
473,600798,5.93
474,600797,18.0
475,600796,12.47
476,600795,3.18
477,600794,6.16
478,600793,29.88
479,600792,6.16
480,600791,9.18
481,600790,6.84
482,600789,10.42
483,600787,8.47
484,600785,30.3
485,600784,10.72
486,600783,26.46
487,600782,3.52
488,600781,19.41
489,600780,5.81
490,600779,17.6
491,600778,11.28
492,600777,16.67
493,600776,9.42
494,600775,15.53
495,600774,23.66
496,600773,15.67
497,600771,34.76
498,600770,11.37
499,600769,12.38
500,600768,24.42
501,600767,16.92
502,600766,18.1
503,600765,14.95
504,600764,26.89
505,600763,33.97
506,600761,12.36
507,600759,9.07
508,600758,13.47
509,600757,9.33
510,600756,27.7
511,600755,9.02
512,600754,31.37
513,600753,39.11
514,600751,10.41
515,600750,33.01
516,600749,24.58
517,600748,8.97
518,600747,5.2
519,600746,14.09
520,600745,22.72
521,600744,5.75
522,600743,4.87
523,600742,16.74
524,600741,17.01
525,600740,8.75
526,600739,21.64
527,600738,9.82
528,600737,12.59
529,600736,9.14
530,600735,17.47
531,600734,17.49
532,600733,50.18
533,600731,10.9
534,600730,13.58
535,600729,25.26
536,600728,9.41
537,600727,10.52
538,600726,5.22
539,600724,6.28
540,600723,10.1
541,600722,8.78
542,600720,7.83
543,600719,9.12
544,600718,19.23
545,600717,10.48
546,600716,8.5
547,600715,22.61
548,600714,17.06
549,600713,8.83
550,600712,11.32
551,600711,7.79
552,600708,9.38
553,600707,9.9
554,600706,20.88
555,600705,7.05
556,600704,10.69
557,600703,12.74
558,600702,23.46
559,600699,33.88
560,600698,6.64
561,600697,36.77
562,600696,12.59
563,600695,9.78
564,600694,47.05
565,600693,9.35
566,600692,17.31
567,600691,3.69
568,600690,10.29
569,600689,19.66
570,600688,6.11
571,600687,16.42
572,600686,13.4
573,600685,27.62
574,600684,8.61
575,600683,10.25
576,600682,32.82
577,600681,15.61
578,600680,35.04
579,600679,29.59
580,600678,15.39
581,600677,18.84
582,600676,9.45
583,600674,9.07
584,600673,7.29
585,600671,35.96
586,600668,17.07
587,600667,9.13
588,600666,29.22
589,600665,5.59
590,600664,9.25
591,600663,23.82
592,600662,11.92
593,600661,31.32
594,600660,18.41
595,600658,13.31
596,600657,6.73
597,600655,11.12
598,600654,19.5
599,600653,4.37
600,600652,13.92
601,600651,12.48
602,600650,25.69
603,600649,20.7
604,600648,20.87
605,600647,42.61
606,600645,30.45
607,600644,9.52
608,600643,13.44
609,600642,6.13
610,600641,13.86
611,600640,20.29
612,600639,20.69
613,600638,16.13
614,600637,24.38
615,600636,13.86
616,600635,6.58
617,600634,18.45
618,600633,15.62
619,600630,17.15
620,600629,19.48
621,600628,15.89
622,600626,13.74
623,600624,9.07
624,600623,18.54
625,600622,16.38
626,600621,17.46
627,600620,18.84
628,600619,12.98
629,600618,14.51
630,600617,11.94
631,600616,11.67
632,600615,21.29
633,600614,11.31
634,600613,17.09
635,600612,40.21
636,600611,7.05
637,600610,11.99
638,600609,6.85
639,600608,15.41
640,600606,9.78
641,600605,24.42
642,600604,20.64
643,600602,10.56
644,600601,5.09
645,600600,31.1
646,600599,38.35
647,600598,11.93
648,600597,14.18
649,600596,10.67
650,600595,6.5
651,600594,16.61
652,600593,40.14
653,600592,14.91
654,600590,18.49
655,600589,9.56
656,600588,24.58
657,600587,24.75
658,600586,4.7
659,600585,18.69
660,600584,18.7
661,600583,7.45
662,600582,5.26
663,600580,9.91
664,600579,14.46
665,600578,4.48
666,600577,4.18
667,600576,18.38
668,600575,5.92
669,600573,15.75
670,600572,7.27
671,600571,22.65
672,600570,57.9
673,600569,3.24
674,600568,27.2
675,600567,3.42
676,600566,31.05
677,600565,7.05
678,600563,41.51
679,600562,33.08
680,600561,15.11
681,600560,17.08
682,600559,24.3
683,600558,6.48
684,600557,18.35
685,600555,7.1
686,600552,18.43
687,600551,20.32
688,600550,6.51
689,600549,28.06
690,600548,8.7
691,600547,37.86
